level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Agreeableness,Q,425,-0.10099261673435853,0.03741487188176305,-0.1942493583156079,-0.005926715209086433,0.09620967055310498
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Conscientiousness,Q,425,-0.057903002538071166,0.23358098857625645,-0.15218760646356946,0.03742597362973856,0.37539801735469785
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_EmotionalStability,Q,425,-0.012593493972857176,0.7957377316423085,-0.10758744958520366,0.08262832661190843,0.8835964598688751
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Extraversion,Q,423,0.08945837414154828,0.06604330857935464,-0.005939971505319173,0.1832430550862343,0.14859744430354796
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Intellect,Q,425,-0.2246431077730635,2.9051769835082983e-06,-0.31307592318518057,-0.1323483815701536,1.53803487362204e-05
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_Beck_Anxiety,Q,425,-0.07642538932710734,0.11566994434807219,-0.17031010665528407,0.01883437050354469,0.21245499982298974
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_Beck_Depression,Q,425,-0.012007019621057359,0.8050545523249751,-0.1070076394510852,0.08321085670056066,0.8835964598688751
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_CogFailure_Sum,Q,425,-0.022263214839041246,0.6471874417524377,-0.11713798474874171,0.07301424809301728,0.7986875080102388
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_EHI_Sum,Q,425,0.08422307685165036,0.08286982761356856,-0.010987789971752105,0.17792049773594365,0.16950646557320842
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_IPAQ_MET,Q,425,0.02691440261787826,0.5800438079689788,-0.06838350881324871,0.12172560158035994,0.7791633241374343
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_MOCA_SUM,Q,427,-0.2298678065677656,1.5827660329449795e-06,-0.3178340398450971,-0.1379781321262688,1.017492449750344e-05
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_MSPSS_Sum,Q,425,0.06198634615765183,0.20218737778049187,-0.033333033706259375,0.15618824843599094,0.3369789629674865
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_DaytimeDysfunc,Q,425,-0.024631019361045087,0.6126019830456284,-0.11947393295243977,0.07065736662861466,0.785835450043897
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepDisturbance,Q,425,0.02471758792614022,0.6113530505280852,-0.07057117725295947,0.11955931693637357,0.785835450043897
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepDuration,Q,425,-0.04909449097737614,0.3126213037033373,-0.1435469633366365,0.046244308004231516,0.4612445464475468
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepEfficiency,Q,425,-0.046289818364492856,0.3411026107656582,-0.14079271494948623,0.04904899281245054,0.4872894439509402
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepLatency,Q,425,0.02089887363838759,0.6674725633204099,-0.07437181228761047,0.11579152242998003,0.8101598425700614
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepMedication,Q,425,0.019159469366843037,0.6936877658418169,-0.0761020646071923,0.11407440613426212,0.8214723542863621
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepQuality,Q,423,-0.049426555660057686,0.31050352609001053,-0.14409515712489215,0.04613856165932932,0.4612445464475468
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_Sum,Q,425,-0.017873160804415356,0.7133141005126461,-0.11280421492074856,0.07738123630325315,0.8287242334529834
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_EmotionalLimit,Q,425,0.053333863726721165,0.27262019886278577,-0.04200206173423705,0.14770734245000058,0.42303134306294343
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_EmotionalWell,Q,425,0.005791412195342999,0.9052417743834792,-0.08938066494205865,0.10085868731777937,0.9454792243239304
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Energy,Q,425,0.07361037455706172,0.12974620560794298,-0.021664156190699568,0.16755995284918385,0.23354317009429734
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_GeneralHealth,Q,425,0.020387922294899267,0.6751332021417178,-0.07488013474609562,0.11528717702407326,0.8101598425700614
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Mental,Q,425,0.06710253734537845,0.1673291508856486,-0.028200302453229964,0.1611964606786573,0.2841438411265731
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Pain,Q,425,0.08263395790307025,0.08886107892202784,-0.012587824866269083,0.1763704574179663,0.17706017378089928
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Physical,Q,425,0.1147585768253401,0.01794918978286261,0.01985245166782432,0.207615055083875,0.05211055098250435
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_PhysicalFunct,Q,424,0.02224645546273456,0.6478243120527493,-0.07314356930438486,0.11723314003977736,0.7986875080102388
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_PhysicalLimit,Q,425,0.08221495294474418,0.09049742215468186,-0.013009626822887147,0.17596167890686462,0.17706017378089928
NORM,LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_SocialFunc,Q,425,0.05130872124142498,0.2912715195913858,-0.0440290058222511,0.14572035167743247,0.4443124875122834
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_RAW_SIMILARITY,ST,427,-0.6907343536846527,8.101607542677427e-62,-0.7373034002539359,-0.6376317934999433,8.101607542677427e-61
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_RAW_VOCABULARY,ST,427,-0.800099982695809,2.275286797257056e-96,-0.831838751067636,-0.7631453853612762,4.095516268048469e-95
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_RAW_INFORMATION,ST,427,-0.7779272470320796,8.567581807661832e-88,-0.8128203867321971,-0.737471476433347,1.1015462355746702e-86
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_RAW_SUM,ST,427,-0.8812072910519299,2.252880736833712e-140,-0.9007782103956685,-0.8580643760189467,1.0137963315751704e-138
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_SCALED_SIMILARITY,ST,427,-0.6907343536883435,8.101607525846994e-62,-0.7373034002571572,-0.6376317935041319,8.101607542677427e-61
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_SCALED_VOCABULARY,ST,427,-0.8000999826872973,2.2752868155824826e-96,-0.8318387510603497,-0.7631453853513982,4.095516268048469e-95
NORM,LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_SCALED_INFORMATION,ST,427,-0.7779272470286581,8.567581832247434e-88,-0.8128203867292567,-0.7374714764293943,1.1015462355746702e-86
