level,target,deviation_sd,deviation_mean,slope_vs_true,n_features_tested,n_sig_fdr05,n_sig_Q,n_sig_ST,top_pos,top_neg
NORM,LANGUAGE_ST_NORM_VCI,12.38850212097168,0.43217670917510986,-0.9097053041164888,90,28,2,26,"BASIC_Q_SF36_Physical, BASIC_Q_BFI_Extraversion, MOTOR_ST_RAW_PegboardDominant","LANGUAGE_ST_NORM_PR, LANGUAGE_ST_RAW_SUM, LANGUAGE_ST_SCALED_SUM"
NORM,LANGUAGE_ST_NORM_SIMILARITY,2.210130453109741,0.08040904998779297,-0.9713225494064955,90,25,2,23,"BASIC_Q_SF36_Physical, BASIC_Q_SF36_Pain, BASIC_Q_MSPSS_Sum","LANGUAGE_ST_SCALED_SIMILARITY, LANGUAGE_ST_RAW_SIMILARITY, LANGUAGE_ST_NORM_PR"
NORM,LANGUAGE_ST_NORM_VOCABULARY,2.55700421333313,0.04095428064465523,-0.9654599100611521,90,16,2,14,"BASIC_Q_SF36_Physical, MOTOR_ST_SCALED_Balance, MOTOR_ST_RAW_BestLegEyeClose","LANGUAGE_ST_SCALED_VOCABULARY, LANGUAGE_ST_RAW_VOCABULARY, LANGUAGE_ST_NORM_PR"
NORM,LANGUAGE_ST_NORM_INFORMATION,2.681699514389038,0.09689594060182571,-0.8753364555967144,90,22,2,20,"MOTOR_ST_RAW_PegboardDominant, BASIC_Q_BFI_Extraversion, MOTOR_ST_SCALED_Balance","LANGUAGE_ST_SCALED_INFORMATION, LANGUAGE_ST_RAW_INFORMATION, LANGUAGE_ST_NORM_PR"
NORM,MEMORY_ST_NORM_AudImm,12.687837600708008,0.660571277141571,-0.8896917461302863,90,31,2,29,"MOTOR_ST_RAW_BestLegEyeClose, MOTOR_ST_SCALED_Balance, MOTOR_ST_RAW_PegboardNondominant","MEMORY_ST_NORM_ImmMem, MEMORY_ST_RAW_AudImm, MEMORY_ST_SCALED_AudImm"
NORM,MEMORY_ST_NORM_VisImm,13.935893058776855,0.9264951944351196,-0.7369026741455532,90,33,2,31,"MOTOR_ST_SCALED_Balance, MOTOR_ST_RAW_BestLegEyeClose, MOTOR_ST_RAW_GripMvcL","MEMORY_ST_NORM_ImmMem, MEMORY_ST_RAW_VisImm, MEMORY_ST_SCALED_VisImm"
NORM,MEMORY_ST_NORM_WorMem,12.304046630859375,0.2158481329679489,-0.9353274883313469,90,35,2,33,"BASIC_Q_PSQI_SleepLatency, BASIC_Q_PSQI_Sum, MOTOR_ST_RAW_PegboardNondominant","MEMORY_ST_SCALED_WorMem, MEMORY_ST_RAW_WorMem, MEMORY_ST_RAW_LetNumSeq"
NORM,MOTOR_ST_NORM_BMI,21.20242691040039,0.9206825494766235,-1.0053567070764275,90,0,0,0,"BASIC_Q_PSQI_SleepQuality, BASIC_Q_PSQI_SleepDuration, BASIC_Q_PSQI_SleepDisturbance","MOTOR_ST_SCALED_FineMotor, MOTOR_ST_RAW_PegboardAssemble, MOTOR_ST_RAW_PegboardNondominant"
NORM,MOTOR_ST_NORM_WHR,12.556925773620605,-0.4508061707019806,-0.8404683499804556,90,8,1,7,"MOTOR_ST_RAW_WHR, MOTOR_ST_RAW_BMI, MOTOR_ST_RAW_WEIGHT","MOTOR_ST_RAW_AerobicRating, BASIC_Q_IPAQ_MET, BASIC_Q_BFI_EmotionalStability"
NORM,MOTOR_ST_NORM_AerobicRating,15.778020858764648,-0.7925597429275513,-0.829606140234586,90,4,0,4,"MOTOR_ST_RAW_HRrest, MOTOR_ST_RAW_BPrestLow, MOTOR_ST_RAW_BPrestHigh","MOTOR_ST_RAW_AerobicRating, BASIC_Q_IPAQ_MET, MOTOR_ST_RAW_WorseLegEyeClose"
