level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_BFI_Agreeableness,Q,425,-0.06787350260018707,0.16249231331564787,-0.1619507345313996,0.027426408801968914,0.2066260280433547
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_BFI_Conscientiousness,Q,425,-0.2425669416506755,4.155158494566226e-07,-0.33007377079121814,-0.15092653075085885,8.230410095006178e-07
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_BFI_EmotionalStability,Q,425,-0.1687335970084698,0.0004769706396063927,-0.2596883283669024,-0.07481151541886732,0.0007676246231165382
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_BFI_Extraversion,Q,423,-0.0003970976782000286,0.9935029564105335,-0.09574115247227147,0.0949541772877145,0.9935029564105334
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_BFI_Intellect,Q,425,0.12792151042369926,0.008284293841183739,0.03320269158485883,0.2203629155427078,0.012366409646984423
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_Beck_Anxiety,Q,425,0.01111744733105339,0.8192388206472632,-0.08409432208607567,0.10612805218594916,0.8354613715511693
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_Beck_Depression,Q,425,0.1271363293128896,0.008692448168795037,0.032405388368661005,0.21960337855429618,0.012790316591226984
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_CogFailure_Sum,Q,425,-0.02800573391562773,0.564773668958965,-0.1228014304869585,0.06729638034999676,0.6188477436465255
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_EHI_Sum,Q,425,-0.12899039082707311,0.007756148856831272,-0.22139670602159825,-0.03428826781637061,0.011748284297847368
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_IPAQ_MET,Q,425,-0.14860055888785031,0.0021296697772753763,-0.24032631047115824,-0.05424448358244049,0.0033235755615055114
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_MOCA_SUM,Q,427,0.23463850925756252,9.440036282408771e-07,0.14292137436289515,0.32236006564082254,1.8005995131261177e-06
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_MSPSS_Sum,Q,425,0.021377463897205472,0.6603282770886857,-0.07389563950517276,0.11626388076194524,0.6979741578727161
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_DaytimeDysfunc,Q,425,0.17731496054103785,0.00023894397342961483,0.08360221650588255,0.2679188901284106,0.0004101871543875055
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_SleepDisturbance,Q,425,-0.049272201414924256,0.31087082862622056,-0.14372142950272052,0.04606654614117407,0.3680424752701232
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_SleepDuration,Q,425,-0.07094996210098545,0.144234063384763,-0.1649594945109857,0.02433712595646665,0.18657008445135792
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_SleepEfficiency,Q,425,-0.09420987798898005,0.05228439259207651,-0.18765107852234542,0.0009212152169767133,0.07479572829144279
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_SleepLatency,Q,425,0.015883777843388007,0.7440395330706393,-0.0793589641365981,0.11083914759014973,0.7663607190627585
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_SleepMedication,Q,425,-0.1732060204677385,0.0003340335489973158,-0.2639795708618225,-0.07939122043660841,0.0005549267023665085
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_SleepQuality,Q,423,0.04181661877643086,0.39096357763167217,-0.053745350031690994,0.1366195802251747,0.4474360944006915
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_PSQI_Sum,Q,425,-0.03305407623352881,0.4967539392271508,-0.12777516360547425,0.062264533484558786,0.5501683412945864
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_EmotionalLimit,Q,425,-0.05692385262285558,0.24159524562538107,-0.15122782819617214,0.0384069494548763,0.2927565917578147
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_EmotionalWell,Q,425,-0.213079404144031,9.38874198178688e-06,-0.30207947823770076,-0.12039685629648028,1.667311076075946e-05
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_Energy,Q,425,-0.2894845538835285,1.194451442582097e-09,-0.3743004332036746,-0.1998653261474834,2.674532577955565e-09
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_GeneralHealth,Q,425,-0.023772935455446592,0.6250418586510291,-0.11862751495915742,0.07151161499516122,0.6728046231913964
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_Mental,Q,425,-0.1750176757764819,0.0002884293585862519,-0.2657168127139775,-0.08124746022842384,0.00048702006449809746
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_Pain,Q,425,0.04472431964339938,0.357698043120519,-0.050613844774710634,0.13925472540597358,0.4139651510271175
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_Physical,Q,425,0.1728575532940717,0.0003435424770499772,0.07903425214446702,0.2636453493722189,0.0005616646847007564
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_PhysicalFunct,Q,424,0.2601570438661213,5.4792592591061776e-08,0.16911191304076068,0.34679976768212223,1.1287274073758726e-07
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_PhysicalLimit,Q,425,0.13593292824712924,0.004998719978877599,0.04134469084728002,0.22810627747095874,0.007684599370513325
