level,target,deviation_sd,deviation_mean,slope_vs_true,n_features_tested,n_sig_fdr05,n_sig_Q,n_sig_ST,top_pos,top_neg
RAW,LANGUAGE_ST_RAW_SIMILARITY,4.37388801574707,0.14322710037231445,-0.8509891517722332,77,36,3,33,"BASIC_Q_SF36_Energy, BASIC_Q_SF36_Pain, BASIC_Q_SF36_Mental","LANGUAGE_ST_NORM_SIMILARITY, LANGUAGE_ST_SCALED_SIMILARITY, LANGUAGE_ST_SCALED_SUM"
RAW,LANGUAGE_ST_RAW_VOCABULARY,8.343050956726074,0.05057111009955406,-0.9386813169191951,77,29,5,24,"BASIC_Q_SF36_Mental, BASIC_Q_SF36_Physical, BASIC_Q_SF36_Energy","LANGUAGE_ST_SCALED_VOCABULARY, LANGUAGE_ST_NORM_VOCABULARY, LANGUAGE_ST_RAW_SUM"
RAW,LANGUAGE_ST_RAW_INFORMATION,4.610165596008301,0.14801187813282013,-0.8006219545901954,77,26,3,23,"BASIC_Q_BFI_Extraversion, MOTOR_ST_NORM_PegboardDominant, BASIC_Q_SF36_EmotionalLimit","LANGUAGE_ST_NORM_INFORMATION, LANGUAGE_ST_SCALED_INFORMATION, LANGUAGE_ST_NORM_VCI"
RAW,MEMORY_ST_RAW_LogMemI,9.473688125610352,0.47344228625297546,-0.6914174360622353,77,28,2,26,"BASIC_Q_EHI_Sum, BASIC_Q_BFI_EmotionalStability, BASIC_Q_BFI_Extraversion","MEMORY_ST_SCALED_LogMemI, MEMORY_ST_NORM_AudImm, MEMORY_ST_RAW_AudImm"
RAW,MEMORY_ST_RAW_FacI,3.559795379638672,0.09297467768192291,-0.6769947377255086,77,10,0,10,"MOTOR_ST_NORM_WHR, MOTOR_ST_SCALED_Balance, MOTOR_ST_RAW_HEIGHT","MEMORY_ST_SCALED_FacI, MEMORY_ST_NORM_VisImm, MEMORY_ST_NORM_ImmMem"
RAW,MEMORY_ST_RAW_VerPairI,6.722527027130127,0.12862628698349,-0.681760754438057,77,19,2,17,"MOTOR_ST_NORM_BMI, BASIC_Q_CogFailure_Sum, BASIC_Q_Beck_Depression","MEMORY_ST_SCALED_VerPairI, MEMORY_ST_NORM_AudImm, MEMORY_ST_SCALED_AudImm"
RAW,MEMORY_ST_RAW_FamPicI,10.650636672973633,0.49776825308799744,-0.7044601527141447,77,14,2,12,"MOTOR_ST_RAW_HEIGHT, BASIC_Q_SF36_EmotionalLimit, MOTOR_ST_NORM_PegboardNondominant","MEMORY_ST_SCALED_FamPicI, MEMORY_ST_SCALED_VisImm, MEMORY_ST_RAW_VisImm"
RAW,MEMORY_ST_RAW_LetNumSeq,2.720196485519409,-0.047321949154138565,-0.6856727546234742,77,32,2,30,"BASIC_Q_PSQI_SleepLatency, BASIC_Q_PSQI_Sum, BASIC_Q_BFI_Extraversion","MEMORY_ST_SCALED_LetNumSeq, MEMORY_ST_NORM_WorMem, MEMORY_ST_SCALED_WorMem"
RAW,MEMORY_ST_RAW_SpaForward,1.6444207429885864,0.013364598155021667,-0.7968235776809852,77,10,0,10,"BASIC_Q_SF36_Energy, BASIC_Q_EHI_Sum, BASIC_Q_BFI_EmotionalStability","MEMORY_ST_SCALED_SpaForward, MEMORY_ST_SCALED_SpaTotal, MEMORY_ST_NORM_WorMem"
RAW,MEMORY_ST_RAW_SpaBackward,1.5123215913772583,0.05354822054505348,-0.7666082655946208,77,8,2,6,"BASIC_Q_Beck_Depression, BASIC_Q_PSQI_SleepMedication, BASIC_Q_PSQI_SleepLatency","MEMORY_ST_SCALED_SpaBackward, MEMORY_ST_SCALED_SpaTotal, MEMORY_ST_NORM_WorMem"
RAW,MEMORY_ST_RAW_SpaTotal,2.4613051414489746,0.06721501797437668,-0.6676782778443427,77,7,0,7,"BASIC_Q_BFI_Intellect, BASIC_Q_Beck_Depression, BASIC_Q_Beck_Anxiety","MEMORY_ST_SCALED_SpaTotal, MEMORY_ST_SCALED_SpaForward, MEMORY_ST_SCALED_SpaBackward"
RAW,MOTOR_ST_RAW_BPrestHigh,18.82054328918457,0.27344903349876404,-0.7897572208184611,77,3,0,3,"MOTOR_ST_NORM_WHR, MOTOR_ST_NORM_AerobicRating, MOTOR_ST_NORM_BestLegEyeClose","MOTOR_ST_RAW_WEIGHT, BASIC_Q_SF36_EmotionalWell, MOTOR_ST_RAW_HEIGHT"
