level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_BFI_Agreeableness,Q,425,-0.08309864428455493,0.08707420752750811,-0.17682376461930938,0.012119996912483604,0.16526329183792354
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_BFI_Conscientiousness,Q,425,0.0008546268359801134,0.9859845244066852,-0.09427587500266833,0.09596966275308348,0.9859845244066852
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_BFI_EmotionalStability,Q,425,-0.012482744997509166,0.7974949292326703,-0.10747796401998999,0.08273833574212504,0.8681497823291481
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_BFI_Extraversion,Q,423,0.06791908841635004,0.1632069812264528,-0.02760737471896133,0.16221626740875478,0.2710401652510734
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_BFI_Intellect,Q,425,-0.16900240295300306,0.00046698293062157504,-0.2599463462956811,-0.07508665744266078,0.0018882353281654992
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_Beck_Anxiety,Q,425,-0.0644909768701124,0.18451476537671344,-0.15864062342301424,0.030820933869389406,0.3010504066672693
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_Beck_Depression,Q,425,-0.013011401141460585,0.7891163730584523,-0.10800056857233327,0.08221319032069697,0.8681497823291481
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_CogFailure_Sum,Q,425,-0.07854985017232279,0.10586171025209407,-0.17238464967997094,0.016697751224478283,0.18932959718162978
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_EHI_Sum,Q,425,0.09497612048999007,0.050389656863316375,-0.0001480548219267324,0.18839690557050326,0.10187474104974834
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_IPAQ_MET,Q,425,0.01799151522684458,0.7115001069103758,-0.07726355164893148,0.11292109933335508,0.8483270505469864
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_MOCA_SUM,Q,427,-0.24776829812559664,2.149157629848491e-07,-0.3347957877158958,-0.15654968891768825,1.5374743044300743e-06
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_MSPSS_Sum,Q,425,0.09239143650406109,0.05701954063219979,-0.0027556190780821128,0.18588065546779017,0.11282589954882086
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_DaytimeDysfunc,Q,425,-0.058173819484076524,0.23139791243306307,-0.15245303413727396,0.03715461922693789,0.3470968686495946
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_SleepDisturbance,Q,425,0.012148450841719423,0.8028051750570617,-0.08307038261259637,0.10714746947479978,0.8681497823291481
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_SleepDuration,Q,425,0.024152616669643856,0.6195241006760308,-0.07113364815405036,0.11900205129568021,0.789256730998231
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_SleepEfficiency,Q,425,-0.07625241012041678,0.11649890434838656,-0.17014115524059056,0.01900830138516186,0.2044226057433953
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_SleepLatency,Q,425,-0.004079872634301604,0.9331666583881814,-0.09916422580858593,0.0910783115879751,0.9433097742402268
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_SleepMedication,Q,425,0.06018123663781339,0.2156654604821085,-0.03514277979679454,0.15442007963042065,0.33428146374726814
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_SleepQuality,Q,423,-0.04633176296649614,0.34181025636353585,-0.14105630871406183,0.04923341161595106,0.48164172487589146
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_PSQI_Sum,Q,425,-0.00570949394988876,0.9065759441503507,-0.10077759903238044,0.08946193084269383,0.9265006901756332
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_EmotionalLimit,Q,425,0.07080833003140988,0.14503866742054214,-0.024479388352309797,0.1648210175590497,0.2497888161131559
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_EmotionalWell,Q,425,0.02241302206593876,0.6449755823718759,-0.07286516347867351,0.11728580759212338,0.7997697221411262
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_Energy,Q,425,0.12208694106115274,0.011772097696184262,0.02728092369393172,0.2147162242465768,0.0312801453070039
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_GeneralHealth,Q,425,0.020323860610831974,0.6760960628428716,-0.0749438633350428,0.11522394012242129,0.8273280768998298
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_Mental,Q,425,0.10066936898061461,0.03803173380319535,0.005600158122954922,0.19393509278140086,0.08225468008598064
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_Pain,Q,425,0.10601555881648707,0.02886747064124689,0.011003687789058171,0.1991302672037397,0.06711686924089902
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_Physical,Q,425,0.09803356630312106,0.04339071836143696,0.0029381272931782226,0.19137181761898944,0.08967415128030305
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_PhysicalFunct,Q,424,0.007151642216520401,0.8832674117058428,-0.08814345084002145,0.102317015111712,0.9169071855834668
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_PhysicalLimit,Q,425,0.058454512485551474,0.2291505064315641,-0.03687335433167224,0.15272812697974913,0.3470968686495946
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,BASIC_Q_SF36_SocialFunc,Q,425,0.07942542656633719,0.10201576479892509,-0.015816910639173606,0.1732394107531192,0.18602874757451046
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,LANGUAGE_ST_RAW_SIMILARITY,ST,427,-0.917232819588083,5.471226138612075e-172,-0.9310860090592263,-0.9007379862182316,2.544120154454615e-170
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,LANGUAGE_ST_RAW_VOCABULARY,ST,427,-0.5537958986464777,1.0938820366581202e-35,-0.6163055412624238,-0.48435140682069944,1.4533004201315025e-34
