level,target,deviation_sd,deviation_mean,slope_vs_true,n_features_tested,n_sig_fdr05,n_sig_Q,n_sig_ST,top_pos,top_neg
SCALED,LANGUAGE_ST_SCALED_SIMILARITY,12.151261329650879,0.39854755997657776,-0.8504746801852748,93,38,3,35,"BASIC_Q_SF36_Energy, BASIC_Q_SF36_Pain, BASIC_Q_SF36_Mental","LANGUAGE_ST_NORM_SIMILARITY, LANGUAGE_ST_RAW_SIMILARITY, LANGUAGE_ST_SCALED_SUM"
SCALED,LANGUAGE_ST_SCALED_VOCABULARY,14.622476577758789,0.0788717195391655,-0.9354546971523588,93,25,3,22,"BASIC_Q_SF36_Mental, BASIC_Q_SF36_Physical, BASIC_Q_SF36_SocialFunc","LANGUAGE_ST_RAW_VOCABULARY, LANGUAGE_ST_NORM_VOCABULARY, LANGUAGE_ST_RAW_SUM"
SCALED,LANGUAGE_ST_SCALED_INFORMATION,17.736644744873047,0.5921992659568787,-0.8021343410296232,93,27,3,24,"MOTOR_ST_RAW_PegboardDominant, BASIC_Q_BFI_Extraversion, MOTOR_ST_NORM_PegboardDominant","LANGUAGE_ST_NORM_INFORMATION, LANGUAGE_ST_RAW_INFORMATION, LANGUAGE_ST_NORM_VCI"
SCALED,MEMORY_ST_SCALED_LogMemI,12.630594253540039,0.6310309171676636,-0.6910856524619367,93,30,2,28,"MOTOR_ST_RAW_GripMvcL, MOTOR_ST_RAW_GripMvcR, BASIC_Q_EHI_Sum","MEMORY_ST_RAW_LogMemI, MEMORY_ST_NORM_AudImm, MEMORY_ST_RAW_AudImm"
SCALED,MEMORY_ST_SCALED_FacI,7.415589332580566,0.19316750764846802,-0.6768702134691438,93,10,0,10,"MOTOR_ST_NORM_WHR, MOTOR_ST_RAW_HEIGHT, BASIC_Q_Beck_Anxiety","MEMORY_ST_RAW_FacI, MEMORY_ST_NORM_VisImm, MEMORY_ST_NORM_ImmMem"
SCALED,MEMORY_ST_SCALED_VerPairI,20.987041473388672,0.4071143865585327,-0.6852485186605737,93,19,2,17,"MOTOR_ST_RAW_GripMvcL, MOTOR_ST_RAW_WHR, MOTOR_ST_NORM_BMI","MEMORY_ST_RAW_VerPairI, MEMORY_ST_NORM_AudImm, MEMORY_ST_SCALED_AudImm"
SCALED,MEMORY_ST_SCALED_FamPicI,16.658306121826172,0.79144287109375,-0.7024643634668515,93,16,2,14,"MOTOR_ST_RAW_GripMvcL, MOTOR_ST_RAW_GripMvcR, MOTOR_ST_RAW_WorseLegEyeClose","MEMORY_ST_RAW_FamPicI, MEMORY_ST_SCALED_VisImm, MEMORY_ST_RAW_VisImm"
SCALED,MEMORY_ST_SCALED_LetNumSeq,12.969550132751465,-0.20416001975536346,-0.6853136653937867,93,34,2,32,"BASIC_Q_PSQI_SleepLatency, BASIC_Q_PSQI_Sum, BASIC_Q_BFI_Extraversion","MEMORY_ST_RAW_LetNumSeq, MEMORY_ST_NORM_WorMem, MEMORY_ST_SCALED_WorMem"
SCALED,MEMORY_ST_SCALED_SpaForward,10.274689674377441,0.09106632322072983,-0.7976473036795011,93,6,0,6,"MOTOR_ST_RAW_GripMvcL, BASIC_Q_SF36_Energy, BASIC_Q_EHI_Sum","MEMORY_ST_RAW_SpaForward, MEMORY_ST_RAW_SpaTotal, MEMORY_ST_NORM_WorMem"
SCALED,MEMORY_ST_SCALED_SpaBackward,9.46963882446289,0.33946093916893005,-0.7699088626489929,93,8,2,6,"BASIC_Q_Beck_Depression, BASIC_Q_PSQI_SleepMedication, BASIC_Q_PSQI_SleepLatency","MEMORY_ST_RAW_SpaBackward, MEMORY_ST_RAW_SpaTotal, MEMORY_ST_NORM_WorMem"
SCALED,MEMORY_ST_SCALED_SpaTotal,7.699921607971191,0.21444737911224365,-0.6683519172735576,93,7,0,7,"MOTOR_ST_RAW_GripMvcL, MOTOR_ST_RAW_GripMvcR, BASIC_Q_BFI_Intellect","MEMORY_ST_RAW_SpaTotal, MEMORY_ST_RAW_SpaForward, MEMORY_ST_RAW_SpaBackward"
SCALED,MOTOR_ST_SCALED_FineMotor,7.721096038818359,-0.12770989537239075,-0.5399607978081402,93,13,0,13,"MOTOR_ST_RAW_WEIGHT, BASIC_Q_PSQI_SleepDisturbance, BASIC_Q_PSQI_Sum","MOTOR_ST_NORM_PegboardAssemble, MOTOR_ST_NORM_PegboardBoth, MOTOR_ST_RAW_PegboardSum"
SCALED,MOTOR_ST_SCALED_Balance,14.88607120513916,-0.23493030667304993,-0.5873902738222824,93,4,0,4,"MOTOR_ST_RAW_WEIGHT, MEMORY_ST_NORM_VisImm, MOTOR_ST_RAW_BPrestHigh","MOTOR_ST_RAW_BestLegEyeClose, MOTOR_ST_NORM_BestLegEyeClose, MOTOR_ST_RAW_WorseLegEyeClose"
SCALED,MOTOR_ST_SCALED_ProcessingSpeed,8.639559745788574,0.03496262803673744,-0.3782188031933346,93,19,0,19,"BASIC_Q_PSQI_Sum, MOTOR_ST_RAW_GripMvcL, BASIC_Q_PSQI_SleepDuration","MOTOR_ST_NORM_WaisSpeed, MOTOR_ST_RAW_SymbolSearch, MOTOR_ST_RAW_SymbolCoding"
